year,facility,number
2002,Bus Interchanges,22
2002,Bus Terminals,21
2002,Bus Stops,4509
2002,Taxi Stands/Stops,133
2003,Bus Interchanges,22
2003,Bus Terminals,18
2003,Bus Stops,4397
2003,Taxi Stands/Stops,133
2004,Bus Interchanges,21
2004,Bus Terminals,17
2004,Bus Stops,4375
2004,Taxi Stands/Stops,174
2005,Bus Interchanges,22
2005,Bus Terminals,18
2005,Bus Stops,4440
2005,Taxi Stands/Stops,199
2006,Bus Interchanges,22
2006,Bus Terminals,15
2006,Bus Stops,4544
2006,Taxi Stands/Stops,198
2007,Bus Interchanges,22
2007,Bus Terminals,15
2007,Bus Stops,4560
2007,Taxi Stands/Stops,210
2008,Bus Interchanges,22
2008,Bus Terminals,13
2008,Bus Stops,4572
2008,Taxi Stands/Stops,230
2009,Bus Interchanges,22
2009,Bus Terminals,13
2009,Bus Stops,4581
2009,Taxi Stands/Stops,232
2010,Bus Interchanges,22
2010,Bus Terminals,15
2010,Bus Stops,4591
2010,Taxi Stands/Stops,255
2011,Bus Interchanges,22
2011,Bus Terminals,15
2011,Bus Stops,4615
2011,Taxi Stands/Stops,268
2012,Bus Interchanges,22
2012,Bus Terminals,15
2012,Bus Stops,4608
2012,Taxi Stands/Stops,269
2013,Bus Interchanges,22
2013,Bus Terminals,16
2013,Bus Stops,4638
2013,Taxi Stands/Stops,270
